https://vpn.sdju.edu.cn ('深信服ssl-vpn', 'Server', 200, 'None')
https://angdian.sdju.edu.cn ('None', 'Server', 200, '上海电机学院资产经营公司')
https://cwcx.sdju.edu.cn ('None', 'Server           ', 403, '403 - 禁止访问: 访问被拒绝。')
https://ghc.sdju.edu.cn ('None', 'Server', 200, '发展规划处')
http://idp.sdju.edu.cn ('None', 'Server', 200, 'None')
http://cwcx.sdju.edu.cn ('None', 'Server           ', 403, '403 - 禁止访问: 访问被拒绝。')
https://idp.sdju.edu.cn ('None', 'Apache', 200, 'None')
http://cwc.sdju.edu.cn ('None', 'Server', 200, '财务处')
https://authserver.sdju.edu.cn ('None', 'openresty', 200, '统一身份认证')
https://ehall.sdju.edu.cn ('None', 'openresty', 200, '统一身份认证')
http://hqgl.sdju.edu.cn ('None', 'None', 200, 'None')
http://ehall.sdju.edu.cn ('None', 'openresty', 200, '统一身份认证')
http://authserver.sdju.edu.cn ('None', 'openresty', 200, '统一身份认证')
https://ns1.sdju.edu.cn ('None', 'None', 200, 'ZDNS')
https://mylib.sdju.edu.cn ('None', 'None', 404, 'HTTP Status 404 – Not Found')
http://mail.sdju.edu.cn ('None', 'nginx', 200, '上海电机学院 - 邮箱用户登录')
https://ns3.sdju.edu.cn ('None', 'nginx/', 200, 'ZDNS-登录')
https://mail.sdju.edu.cn ('None', 'nginx', 200, '上海电机学院 - 邮箱用户登录')
http://res.sdju.edu.cn ('None', 'Server   ', 403, '403 Forbidden')
https://gjs.sdju.edu.cn ('None', 'Server', 200, '高等技术教育研究所')
http://mylib.sdju.edu.cn ('None', 'None', 404, 'HTTP Status 404 – Not Found')
https://gonghui.sdju.edu.cn ('None', 'Server', 200, '')
https://chengjiao.sdju.edu.cn ('None', 'Server', 200, '继续教育学院')
https://dwgk.sdju.edu.cn ('None', 'Server', 200, '党务公开网')
https://ddh.sdju.edu.cn ('None', 'Server', 200, '党代会')
https://visitor.sdju.edu.cn ('None', 'nginx/1.20.2', 200, 'Welcome to nginx!')
https://cyy.sdju.edu.cn ('None', 'Server', 200, '产业技术研究院')
https://res.sdju.edu.cn ('None', 'openresty', 403, '403 Forbidden')
https://houqin.sdju.edu.cn ('None', 'Server', 200, '总务部')
http://ucp.sdju.edu.cn ('None', 'openresty', 200, '统一身份认证')
https://oa.sdju.edu.cn ('None', 'openresty', 200, '统一身份认证')
http://bwc.sdju.edu.cn ('None', 'Server', 200, '保卫处')
https://gzxy.sdju.edu.cn ('None', 'Server', 200, '高职学院')
http://oa.sdju.edu.cn ('None', 'openresty', 200, '统一身份认证')
https://english.sdju.edu.cn ('None', 'Server', 200, '上海电机学院英文网')
https://hqgl.sdju.edu.cn ('None', 'None', 200, 'None')
https://bwc.sdju.edu.cn ('None', 'Server', 200, '保卫处')
http://english.sdju.edu.cn ('None', 'Server', 200, '上海电机学院英文网')
http://guojijl.sdju.edu.cn ('None', 'Server', 200, '国际合作与交流处')
http://dsxx.sdju.edu.cn ('None', 'Server', 200, '党史学习教育专题网站')
https://jsfzzx.sdju.edu.cn ('None', 'Server', 200, 'None')
http://wsgl.sdju.edu.cn ('None', 'openresty', 200, '统一身份认证')
https://dtxy.sdju.edu.cn ('None', 'Server', 200, 'None')
http://houqin.sdju.edu.cn ('None', 'Server', 200, '总务部')
https://work.sdju.edu.cn ('None', 'Server      ', 200, 'Welcome to nginx!')
https://dsxx.sdju.edu.cn ('None', 'Server', 200, '党史学习教育专题网站')
http://ghc.sdju.edu.cn ('None', 'Server', 200, '发展规划处')
http://work.sdju.edu.cn ('None', 'Server      ', 200, 'Welcome to nginx!')
https://jxpg.sdju.edu.cn ('None', 'Server', 200, 'None')
http://xiaobao.sdju.edu.cn ('None', 'Server', 403, 'None')
https://ucp.sdju.edu.cn ('None', 'openresty', 200, '统一身份认证')
https://xjwgl.sdju.edu.cn ('None', 'ZFSOFT.Inc', 200, '')
http://dangan.sdju.edu.cn ('None', 'Server', 200, '档案馆')
http://xinsheng.sdju.edu.cn ('None', 'Server       ', 200, 'None')
http://xjwgl.sdju.edu.cn ('None', 'ZFSOFT.Inc', 200, '')
http://dqxy.sdju.edu.cn ('None', 'Server', 200, '电气学院')
http://xsfw.sdju.edu.cn ('None', 'Server           ', 200, 'None')
http://dtxy.sdju.edu.cn ('None', 'Server', 200, 'None')
https://xinsheng.sdju.edu.cn ('None', 'Server       ', 200, 'None')
http://vpn.sdju.edu.cn ('None', 'Server', 200, 'None')
http://djsyzx.sdju.edu.cn ('None', 'Server', 200, '电机实验教学示范中心')
http://angdian.sdju.edu.cn ('None', 'Server', 200, '上海电机学院资产经营公司')
https://jwc.sdju.edu.cn ('None', 'Server', 200, '教务处')
http://gjs.sdju.edu.cn ('None', 'Server', 200, '高等技术教育研究所')
https://career.sdju.edu.cn ('None', 'Server            ', 200, '上海电机学院就业信息服务网')
http://jxpg.sdju.edu.cn ('None', 'Server', 200, 'None')
https://yjspy.sdju.edu.cn ('None', 'Server ', 200, '登录-学位与研究生教育管理信息系统')
https://guojijl.sdju.edu.cn ('None', 'Server', 200, '国际合作与交流处')
http://yjspy.sdju.edu.cn ('None', 'Server ', 200, '登录-学位与研究生教育管理信息系统')
https://keyan.sdju.edu.cn ('None', 'Server', 200, '科技处')
http://zf.sdju.edu.cn ('None', 'Server           ', 200, 'None')
https://zf.sdju.edu.cn ('None', 'Server           ', 200, 'None')
https://xsfw.sdju.edu.cn ('None', 'Server           ', 200, 'None')
https://wsgl.sdju.edu.cn ('None', 'openresty', 200, '统一身份认证')
http://gonghui.sdju.edu.cn ('None', 'Server', 200, '')
https://jwbgs.sdju.edu.cn ('None', 'Server', 200, '纪委办公室')
http://keyan.sdju.edu.cn ('None', 'Server', 200, '科技处')
https://dqxy.sdju.edu.cn ('None', 'Server', 200, '电气学院')
http://jwbgs.sdju.edu.cn ('None', 'Server', 200, '纪委办公室')
https://djsyzx.sdju.edu.cn ('None', 'Server', 200, '电机实验教学示范中心')
https://sd.sdju.edu.cn ('None', 'Server', 200, 'None')
https://news.sdju.edu.cn ('None', 'Server', 200, '新闻网')
