id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
96,1,1,1,https://angdian.sdju.edu.cn,angdian.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,ä¸_µ·_µæ_å­¦é_èµ_º§ç»____,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,SiteDossierQuery
107,1,1,1,http://angdian.sdju.edu.cn,angdian.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,ä¸_µ·_µæ_å­¦é_èµ_º§ç»____,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,SiteDossierQuery
35,0,1,1,http://authserver.sdju.edu.cn,authserver.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,0,80,500,Internal Server Error,ç»__èº»½è®¤è_,openresty,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
51,0,1,1,https://authserver.sdju.edu.cn,authserver.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,0,443,500,Internal Server Error,ç»__èº»½è®¤è_,openresty,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
103,1,1,1,https://bwc.sdju.edu.cn,bwc.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,ä¿__å¤,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,SiteDossierQuery
146,1,1,1,http://bwc.sdju.edu.cn,bwc.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,ä¿__å¤,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,SiteDossierQuery
90,1,1,1,https://career.sdju.edu.cn,career.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,ä¸_µ·_µæ_å­¦é_å°±ä_ä¿¡æ____ç½,"Server            ,ASP.NET",101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
94,1,1,1,http://career.sdju.edu.cn,career.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,ä¸_µ·_µæ_å­¦é_å°±ä_ä¿¡æ____ç½,"Server            ,ASP.NET",101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
177,1,1,1,https://chengjiao.sdju.edu.cn,chengjiao.sdju.edu.cn,3,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,ç»§ç»­___å­¦é_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,Finder
179,1,1,1,http://chengjiao.sdju.edu.cn,chengjiao.sdju.edu.cn,3,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,ç»§ç»­___å­¦é_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,Finder
